,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Lable
0,0,42.0,0.0,19.2,0.98,15.5,2.06,sitting
1,250,42.0,0.0,19.33,0.94,11.0,0.82,sitting
2,500,42.0,0.0,17.5,0.5,12.5,0.5,sitting
3,750,42.0,0.0,17.0,1.41,13.33,0.94,sitting
4,1000,42.0,0.0,17.5,0.87,12.0,0.82,sitting
5,1250,42.0,0.0,18.0,0.0,10.0,0.82,sitting
6,1500,42.0,0.0,18.5,0.5,10.0,0.0,sitting
7,1750,42.0,0.0,18.25,0.43,12.33,1.7,sitting
8,2000,41.75,0.43,18.0,0.0,4.0,1.58,sitting
9,2250,42.0,0.0,17.75,0.43,2.5,0.87,sitting
10,2500,42.0,0.0,15.75,1.3,5.75,2.28,sitting
11,2750,42.0,0.0,15.25,0.43,1.0,0.0,sitting
12,3000,42.0,0.0,16.75,0.83,3.5,1.12,sitting
13,3250,41.75,0.43,16.0,1.0,6.33,3.86,sitting
14,3500,42.0,0.0,17.75,0.43,7.75,3.42,sitting
15,3750,42.0,0.0,18.25,0.43,9.0,0.82,sitting
16,4000,42.0,0.0,18.33,0.47,7.0,0.82,sitting
17,4250,42.0,0.0,18.0,0.71,10.5,2.06,sitting
18,4500,42.0,0.0,17.25,0.83,8.25,4.49,sitting
19,4750,42.0,0.0,17.25,1.3,7.67,2.05,sitting
20,5000,42.0,0.0,15.25,0.43,12.0,1.58,sitting
21,5250,42.0,0.0,15.5,0.87,11.5,1.12,sitting
22,5500,42.0,0.0,16.75,1.09,9.33,2.36,sitting
23,5750,42.0,0.0,17.5,0.5,11.0,0.71,sitting
24,6000,42.0,0.0,16.5,1.5,11.5,0.5,sitting
25,6250,42.0,0.0,18.0,0.0,14.25,0.83,sitting
26,6500,42.0,0.0,18.0,0.0,11.25,0.83,sitting
27,6750,42.0,0.0,18.25,0.43,12.0,0.82,sitting
28,7000,42.0,0.0,16.0,1.22,14.67,0.94,sitting
29,7250,42.0,0.0,14.75,0.43,13.33,0.47,sitting
30,7500,42.0,0.0,14.67,0.47,13.0,0.82,sitting
31,7750,42.0,0.0,15.0,0.0,12.5,0.5,sitting
32,8000,42.0,0.0,15.67,0.94,11.75,0.43,sitting
33,8250,42.0,0.0,15.75,0.83,9.5,1.12,sitting
34,8500,42.25,0.43,16.0,0.71,6.67,0.47,sitting
35,8750,42.0,0.0,15.0,0.0,5.33,0.94,sitting
36,9000,42.0,0.0,14.5,0.5,8.0,0.71,sitting
37,9250,42.0,0.0,15.0,0.0,4.0,0.0,sitting
38,9500,42.0,0.0,15.25,0.43,2.5,0.5,sitting
39,9750,42.0,0.0,15.0,0.0,3.0,1.0,sitting
40,10000,42.0,0.0,15.25,0.43,3.0,0.71,sitting
41,10250,42.0,0.0,15.67,0.47,2.0,0.0,sitting
42,10500,42.0,0.0,17.25,0.83,2.0,0.0,sitting
43,10750,42.0,0.0,17.5,0.5,3.25,1.3,sitting
44,11000,42.0,0.0,16.75,0.43,6.67,0.47,sitting
45,11250,42.0,0.0,16.5,0.87,9.0,1.22,sitting
